OBJECTID *,Shape *,RevDate,SourceAgency,DataSource,HztlAccuracy,GNIS_Name,GlobalID *,Shape_Length,Shape_Area,Lat,Long
4774,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{7B26B10D-7CB0-4206-BAF4-4CF7896C48F6},3677.136749,550219.5052,924970.474,1456538.847
4775,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{A5FE7548-BFAF-428A-83D8-A9D491980B82},1565.475143,70527.76008,925886.9149,1472171.945
4776,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{3F4C1E65-A82D-45B0-A0ED-23F5B1C7B986},9006.302901,2181517.011,925185.3213,1451312.154
4777,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{4C49097B-9106-49EE-85CE-562AEC506D92},2668.243705,405639.8708,925942.2134,1453027.445
4778,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{54A34911-3A32-43FE-BF2E-367EF9AB43A1},4250.028376,452403.7545,926099.5819,1457284.902
4779,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{821B3F7E-4BFC-4ECE-9D23-9B11590058F7},2943.521911,281004.9856,926317.766,1456093.932
4780,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{D598E77D-8922-46FD-B3FC-93636B043801},5249.098999,456805.003,926776.0049,1470224.294
4781,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{59D7E306-8A7B-4CCA-AD08-D1FE1274AE41},15691.88922,2571304.429,926290.8431,1470958.223
4782,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{88B945EC-6EB1-43D1-8502-6BD88750F258},2811.250268,317080.9455,927389.9326,1457447.158
4783,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{87499409-A5AF-4C44-9DEE-A1E225F83514},4794.111902,910925.8469,927381.0897,1449844.125
4784,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{52DBCB93-EC28-4EEB-9AAC-70A2266B1631},7572.298446,738038.236,928435.7426,1472114.911
4785,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{FD3B39EC-5AB8-43C6-8CD0-D6DCCE24DE2C},2714.491024,261744.9174,929679.978,1482404.532
4786,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{5FFB9A05-B66D-42E1-8376-7CFB890390E6},7839.868455,1881387.841,929121.7545,1448595.983
4787,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{42F26125-3594-4A32-8DF9-A18F53590C3A},1157.809872,90458.55127,930394.6812,1450620.484
4788,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{EE08F27C-D32B-46D0-AB52-4AB30CE6AC44},8461.755963,1410438.191,929774.5528,1451466.891
4789,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{70D2D0F3-C613-4C01-835A-9133A19D5FC0},1412.24261,129483.1684,931061.4219,1453457.968
4790,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{B8B366E6-A7CD-4016-AE4C-6D55D00E206A},3241.601297,402690.4022,930955.6788,1450334.91
4791,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{F52DE2EB-3727-4ACB-A974-C891E34A1334},4323.902861,286486.9392,931402.439,1453823.905
4792,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{483E66C3-B538-4F20-9D88-F4ACEC0C4118},2182.641306,230486.7191,931947.9257,1450711.346
4793,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{D3755FA3-382D-46F8-9318-2D64EC4C4DE8},2439.725761,200856.9747,931933.2188,1449928.783
4794,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{4C6C89DD-4FBB-4FCA-921A-3E1E1F8A81F6},15166.77449,2986754.262,931122.3247,1454809.463
4795,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{5FD9292A-5E9E-4B76-B0E0-0CDD8D15B14F},3615.897602,565824.0615,932817.269,1449887.74
4796,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{A0E128FC-5A7F-4131-99B9-7D43D95B3D97},6381.157479,1394927.813,933131.3624,1452775.98
4797,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{F164AA9A-9CDB-474A-ABF5-7F3251936166},1421.987921,90203.18589,935876.3209,1481077.36
4798,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{D4B73FB2-5CBC-4EFF-B9A5-656A43C7DDCC},14206.81381,2927049.865,935573.6986,1473598.17
4799,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{B4CFB183-85FA-4169-9545-9569F99B2CC8},102.053543,42.535901,937716.713,1487744.244
